"","Source.level","Target.level","Source","Target","Label","Parent.Label","Value","Value.type","Value.info","Country","Colour","DSource","Assumption"
"157","Services","Sourcing","Consumables","Recycled","Biogenic wastes","Fossil",416880.314,"Energy_now",2017,"EU28","darkolivegreen1","nrg_bal_c","Recycled are 100% consumables"
"158","Processing","Outflows","Electricity","Dispersed","non-renewable wastes","Fossil",1815594.6346,"Energy_now",2017,"EU28","darkgrey","nrg_bal_c derived",""
"1581","Processing","Services","Refinery & Material processing","Agri-& Silviculture","Fossil oil","Fossil",498114.9459,"Energy_now",2017,"EU28","darkgrey","aei_fm_usefert","Nitrogen"
"210","Sourcing","Availability","Imports","Net-available non-renewable","Fossil solid","Fossil",155555.280939703,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"310","Sourcing","Availability","Domestic extraction","Net-available non-renewable","Fossil solid","Fossil",167592.108317899,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"410","Sourcing","Availability","Recycled","Net-available non-renewable","Fossil solid","Fossil",650.98864279467,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"510","Availability","Processing","Net-available non-renewable","Electricity","Fossil solid","Fossil",76559.621372897,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"610","Availability","Processing","Net-available non-renewable","Heat low-T","Fossil solid","Fossil",17928.6539525133,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"710","Availability","Processing","Net-available non-renewable","Refinery & Material processing","Fossil solid","Fossil",2173.08625302259,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"810","Availability","Processing","Net-available non-renewable","Energy sector","Fossil solid","Fossil",881.213310953336,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"910","Availability","Processing","Net-available non-renewable","Industry energy","Fossil solid","Fossil",34462.7701355662,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"1010","Processing","Services","Refinery & Material processing","Consumables","Fossil solid","Fossil",0,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c","including also bitumen/infra stocks"
"116","Processing","Services","Refinery & Material processing","Transport","Fossil solid","Fossil",15.0401939599732,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"1210","Processing","Services","Heat low-T","Residential & other","Fossil solid","Fossil",3020.66051859855,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"1310","Processing","Services","Electricity","Residential & other","Fossil solid","Fossil",12082.6420743942,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c","Heat/el. shares"
"1410","Services","Sourcing","Consumables","Recycled","Fossil solid","Fossil",650.98864279467,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c","Recycled are 100% consumables"
"159","Processing","Outflows","Refinery & Material processing","Exports","Fossil solid","Fossil",20183.9483652313,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"161","Sourcing","Availability","Imports","Net-available non-renewable","Fossil oil","Fossil",1073467.40191248,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"171","Sourcing","Availability","Domestic extraction","Net-available non-renewable","Fossil oil","Fossil",81481.8141025641,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"181","Sourcing","Availability","Recycled","Net-available non-renewable","Fossil oil","Fossil",1291.28922970968,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"191","Availability","Processing","Net-available non-renewable","Electricity","Fossil oil","Fossil",5750.18753973299,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
"201","Availability","Processing","Net-available non-renewable","Heat low-T","Fossil oil","Fossil",2602.69800275482,"Volume_now",2017,"EU28","darkgrey","nrg_bal_c",""
